Eta     F       F_prime F_prime_prime
0.2000  0.0000  0.0000  0.3321
0.2000  0.0066  0.0664  0.3320
0.4000  0.0266  0.1328  0.3315
0.6000  0.0597  0.1989  0.3301
0.8000  0.1061  0.2647  0.3274
1.0000  0.1656  0.3298  0.3230
1.2000  0.2380  0.3938  0.3166
1.4000  0.3230  0.4563  0.3079
1.6000  0.4203  0.5168  0.2967
1.8000  0.5295  0.5748  0.2829
2.0000  0.6500  0.6298  0.2668
2.2000  0.7812  0.6813  0.2484
2.4000  0.9223  0.7290  0.2281
2.6000  1.0725  0.7725  0.2065
2.8000  1.2310  0.8115  0.1840
3.0000  1.3968  0.8460  0.1614
3.2000  1.5691  0.8761  0.1391
3.4000  1.7470  0.9018  0.1179
3.6000  1.9295  0.9233  0.0981
3.8000  2.1160  0.9411  0.0801
4.0000  2.3058  0.9555  0.0642
4.2000  2.4981  0.9670  0.0505
4.4000  2.6924  0.9759  0.0390
4.6000  2.8883  0.9827  0.0295
4.8000  3.0853  0.9878  0.0219
5.0000  3.2833  0.9915  0.0159
5.2000  3.4819  0.9942  0.0113
5.4000  3.6809  0.9962  0.0079
5.6000  3.8803  0.9975  0.0054
5.8000  4.0799  0.9984  0.0036
6.0000  4.2796  0.9990  0.0024
6.2000  4.4795  0.9994  0.0016
6.4000  4.6794  0.9996  0.0010
6.6000  4.8793  0.9998  0.0006
6.8000  5.0793  0.9999  0.0004
7.0000  5.2793  0.9999  0.0002
7.2000  5.4793  1.0000  0.0001
7.4000  5.6793  1.0000  0.0001
7.6000  5.8793  1.0000  0.0000
7.8000  6.0793  1.0000  0.0000
8.0000  6.2793  1.0000  0.0000
8.2000  6.4793  1.0000  0.0000
8.4000  6.6793  1.0000  0.0000
8.6000  6.8793  1.0000  0.0000
8.8000  7.0793  1.0000  0.0000
9.0000  7.2793  1.0000  0.0000
9.2000  7.4793  1.0000  0.0000
9.4000  7.6793  1.0000  0.0000
9.6000  7.8793  1.0000  0.0000
9.8000  8.0793  1.0000  0.0000
